brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_120
lonestar,Blended,2026-04-14,48,2184,1,68015.62,31.14268315018315,0.5237601593836574,59.45981684981685
lonestar,Blended,2026-04-14,49,2184,1,68236.5,31.24381868131868,0.5254610649110151,59.45981684981685
lonestar,Blended,2026-04-14,50,2184,1,68605.39,31.41272435897436,0.5283017342336653,59.45981684981685
lonestar,Blended,2026-04-14,51,2184,1,68953.22,31.57198717948718,0.5309802292064145,59.45981684981685
lonestar,Blended,2026-04-14,52,2184,1,69085.15,31.632394688644688,0.531996167572153,59.45981684981685
lonestar,Blended,2026-04-14,53,2184,1,69557.08,31.84847985347985,0.5356303053190107,59.45981684981685
lonestar,Blended,2026-04-14,54,2184,1,70317.02,32.19643772893773,0.5414822889592689,59.45981684981685
lonestar,Blended,2026-04-14,55,2184,1,70408.96,32.2385347985348,0.5421902808742691,59.45981684981685
lonestar,Blended,2026-04-14,56,2184,1,70538.86,32.298012820512824,0.543190587049585,59.45981684981685
lonestar,Blended,2026-04-14,57,2184,1,70747.73,32.39364926739927,0.5447990085340979,59.45981684981685
lonestar,Blended,2026-04-14,58,2184,1,71964.54,32.9507967032967,0.554169159089803,59.45981684981685
lonestar,Blended,2026-04-14,59,2184,1,72137.39,33.029940476190475,0.5555002054516455,59.45981684981685
lonestar,Blended,2026-04-14,60,2184,1,72579.23,33.23224816849817,0.5589026325532741,59.45981684981685
lonestar,Blended,2026-04-14,61,2184,1,72662.13,33.270206043956044,0.5595410111670823,59.45981684981685
lonestar,Blended,2026-04-14,62,2184,1,72675.11,33.27614926739927,0.5596409647787498,59.45981684981685
lonestar,Blended,2026-04-14,63,2184,1,73961.9,33.865338827838826,0.5695500023717806,59.45981684981685
lonestar,Blended,2026-04-14,64,2184,1,74236.81,33.99121336996337,0.5716669705831438,59.45981684981685
lonestar,Blended,2026-04-14,65,2184,1,74443.68000000001,34.08593406593407,0.5732599908948266,59.45981684981685
lonestar,Blended,2026-04-14,66,2184,1,74751.51,34.22688186813187,0.5756304624109735,59.45981684981685
lonestar,Blended,2026-04-14,67,2184,1,75175.36,34.42095238095238,0.5788943559629952,59.45981684981685
lonestar,Blended,2026-04-14,68,2184,1,75531.26,34.583910256410256,0.581634994668114,59.45981684981685
lonestar,Blended,2026-04-14,69,2184,1,75789.14,34.701987179487176,0.5836208218928287,59.45981684981685
lonestar,Blended,2026-04-14,70,2184,1,77911.72,35.67386446886447,0.5999659326056999,59.45981684981685
