brand,population,goal_horizon,day,ARPU_nominal,ARPU_at_horizon,raw_goal_ratio,organic_share,adjusted_goal_ratio,effective_patch,is_extrapolated
realprize,App,120,84,19.57315903640501,23.919038273964876,0.8183087803203936,0.23294531960958564,0.6276875799493292,60->90,False
realprize,App,120,85,19.681357009016565,23.919038273964876,0.8228322888064904,0.23294531960958564,0.6311573583053756,60->90,False
realprize,App,120,86,19.78116537377003,23.919038273964876,0.8270050470758772,0.23294531960958564,0.6343580920660465,60->90,False
realprize,App,120,87,19.839858305027644,23.919038273964876,0.8294588635958122,0.23294531960958564,0.6362403035124821,60->90,False
realprize,App,120,88,19.946676191054692,23.919038273964876,0.833924673834651,0.23294531960958564,0.6396658241579187,60->90,False
realprize,App,120,89,20.060861109088382,23.919038273964876,0.8386984827447682,0.23294531960958564,0.6433275966257136,60->90,False
realprize,App,120,90,20.12316924869024,23.919038273964876,0.8413034428141569,0.23294531960958564,0.6453257434391684,60->90,False
realprize,App,120,91,20.353120051107474,23.919038273964876,0.8509171572028131,0.23294531960958564,0.6526999880569238,90->120,False
realprize,App,120,92,20.455436686083054,23.919038273964876,0.855194780483635,0.23294531960958564,0.6559811590154252,90->120,False
realprize,App,120,93,20.59051246374162,23.919038273964876,0.8608419882062629,0.23294531960958564,0.6603128761302038,90->120,False
realprize,App,120,94,20.77925729944976,23.919038273964876,0.8687329758599588,0.23294531960958564,0.6663656951428742,90->120,False
realprize,App,120,95,20.936488154628343,23.919038273964876,0.8753064364388369,0.23294531960958564,0.6714078988462645,90->120,False
realprize,App,120,96,21.01775677777154,23.919038273964876,0.8787040907346476,0.23294531960958564,0.6740140854762148,90->120,False
realprize,App,120,97,21.11453212000977,23.919038273964876,0.8827500453056374,0.23294531960958564,0.6771175538665395,90->120,False
realprize,App,120,98,21.21148868518484,23.919038273964876,0.8868035763909823,0.23294531960958564,0.6802268338576614,90->120,False
realprize,App,120,99,21.29555227068571,23.919038273964876,0.8903180816373062,0.23294531960958564,0.6829226515561108,90->120,False
realprize,App,120,100,21.49532188404565,23.919038273964876,0.8986699898984917,0.23294531960958564,0.6893290218780445,90->120,False
realprize,App,120,101,21.58562779683452,23.919038273964876,0.9024454724975208,0.23294531960958564,0.6922250234763623,90->120,False
realprize,App,120,102,21.648221740429683,23.919038273964876,0.905062381374802,0.23294531960958564,0.694232335678836,90->120,False
realprize,App,120,103,21.756829334671245,23.919038273964876,0.909603015199523,0.23294531960958564,0.6977152501060273,90->120,False
realprize,App,120,104,21.88233287092626,23.919038273964876,0.9148500295157976,0.23294531960958564,0.7017399969954013,90->120,False
realprize,App,120,105,22.140181453396494,23.919038273964876,0.9256300859510471,0.23294531960958564,0.7100088897389322,90->120,False
realprize,App,120,106,22.214844844585755,23.919038273964876,0.928751590684393,0.23294531960958564,0.7124032545545059,90->120,False
realprize,App,120,107,22.33909817197264,23.919038273964876,0.9339463366421403,0.23294531960958564,0.7163879087548353,90->120,False
realprize,App,120,108,22.555517814702622,23.919038273964876,0.9429943443526154,0.23294531960958564,0.7233282254173637,90->120,False
realprize,App,120,109,22.63912627829627,23.919038273964876,0.9464898219983305,0.23294531960958564,0.7260094479057096,90->120,False
realprize,App,120,110,22.76126686739408,23.919038273964876,0.9515962392254294,0.23294531960958564,0.7299263491397819,90->120,False
realprize,App,120,111,22.863730774680356,23.919038273964876,0.95588001962298,0.23294531960958564,0.7332122429434879,90->120,False
realprize,App,120,112,22.967574270247916,23.919038273964876,0.9602214774348766,0.23294531960958564,0.7365423784778208,90->120,False
realprize,App,120,113,23.094396375415595,23.919038273964876,0.9655236180859798,0.23294531960958564,0.7406094102803377,90->120,False
realprize,App,120,114,23.299293450907737,23.919038273964876,0.9740898937507988,0.23294531960958564,0.7471802121225517,90->120,False
realprize,App,120,115,23.472914200253328,23.919038273964876,0.9813485781241823,0.23294531960958564,0.7527480199446323,90->120,False
realprize,App,120,116,23.583262911065372,23.919038273964876,0.9859620040298617,0.23294531960958564,0.756286769878218,90->120,False
realprize,App,120,117,23.644763093948015,23.919038273964876,0.9885331852863247,0.23294531960958564,0.75825900649512,90->120,False
realprize,App,120,118,23.78630646588696,23.919038273964876,0.9944507882567172,0.23294531960958564,0.7627981315502518,90->120,False
realprize,App,120,119,23.84583888883,23.919038273964876,0.9969397019940157,0.23294531960958564,0.7647072644815347,90->120,False
realprize,App,120,120,23.919038273964876,23.919038273964876,1.0,0.23294531960958564,0.7670546803904144,90->120,False
realprize,Affiliate,120,1,6.1920181852315395,26.305980748617703,0.23538442624143222,0.4824250367129681,0.12182908577024834,1->7,False
realprize,Affiliate,120,2,7.60675041301627,26.305980748617703,0.2891642963517329,0.4824250367129681,0.14966420006816858,1->7,False
realprize,Affiliate,120,3,8.268847546933667,26.305980748617703,0.3143333687480239,0.4824250367129681,0.16269108178964753,1->7,False
realprize,Affiliate,120,4,8.789175538172714,26.305980748617703,0.33411320498417674,0.4824250367129681,0.17292862980339785,1->7,False
realprize,Affiliate,120,5,9.284844899874843,26.305980748617703,0.3529556639078257,0.4824250367129681,0.18268101478904283,1->7,False
realprize,Affiliate,120,6,9.810421032540676,26.305980748617703,0.3729350038795335,0.4824250367129681,0.19302182094139864,1->7,False
realprize,Affiliate,120,7,10.204467884856069,26.305980748617703,0.3879143675489948,0.4824250367129681,0.20077476454268317,1->7,False
realprize,Affiliate,120,8,10.539335578785705,26.305980748617703,0.4006440846855525,0.4824250367129681,0.20736334742229134,7->14,False
realprize,Affiliate,120,9,10.788050875878037,26.305980748617703,0.41009879004206734,0.4824250367129681,0.21225686620007922,7->14,False
realprize,Affiliate,120,10,11.127160144071764,26.305980748617703,0.4229897470998667,0.4824250367129681,0.2189289028260044,7->14,False
realprize,Affiliate,120,11,11.426221890050497,26.305980748617703,0.4343583308769398,0.4824250367129681,0.22481299715704858,7->14,False
realprize,Affiliate,120,12,11.647557692069313,26.305980748617703,0.4427722274783979,0.4824250367129681,0.22916781938164912,7->14,False
realprize,Affiliate,120,13,11.941914873868475,26.305980748617703,0.45396197115729986,0.4824250367129681,0.23495935055544812,7->14,False
realprize,Affiliate,120,14,12.198448916518275,26.305980748617703,0.4637138996294318,0.4824250367129681,0.24000670457638956,7->14,False
realprize,Affiliate,120,15,12.630930922532048,26.305980748617703,0.4801543437302091,0.4824250367129681,0.24851586682827187,14->30,False
realprize,Affiliate,120,16,12.821269887459195,26.305980748617703,0.48738992132551123,0.4824250367129681,0.25226082063652083,14->30,False
realprize,Affiliate,120,17,13.112369367743922,26.305980748617703,0.4984558261882304,0.4824250367129681,0.2579882559395805,14->30,False
realprize,Affiliate,120,18,13.311439066440638,26.305980748617703,0.5060232953732436,0.4824250367129681,0.26190498852518945,14->30,False
realprize,Affiliate,120,19,13.463594610489842,26.305980748617703,0.511807361951229,0.4824250367129681,0.26489867657194,14->30,False
