brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,method,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,App,launch_week,7,2000,7,35738.89,17.869445,0.41582871978719704,42.97309,27,True,rp_app_donor,0.26707052723889046,0.33762183461493167,0.17690168586091917,9.968648068918117,37.32590103437852,0.5439438946466705,-0.12811517485947344,0.12811517485947344,0.2355301275009129,7.9007969310818815,7.9007969310818815,0.7925645359791845
lonestar,App,launch_week,14,2000,7,49178.57,24.589285,0.5722019291607842,42.97309,27,True,rp_app_donor,0.3461595061729403,0.33762183461493167,0.22928849862943343,12.920715469520509,37.32590103437852,0.7050248183628799,-0.13282288920209573,0.13282288920209573,0.18839462915719812,11.668569530479491,11.668569530479491,0.9030900462134017
lonestar,App,launch_week,21,2000,7,61299.960000000014,30.649980000000006,0.7132365859657754,42.97309,27,True,rp_app_donor,0.4310964295429652,0.33762183461493167,0.28554886210472263,16.09106266539465,37.32590103437852,0.8780162801121245,-0.16477969414634908,0.16477969414634908,0.1876727093548953,14.558917334605358,14.558917334605358,0.904782837364476
lonestar,App,launch_day,1,208,1,3434.59,16.512451923076924,0.5639072684584695,29.28221153846154,33,True,hybrid_donor,0.09376700071375696,0.33762183461493167,0.062109213906438726,4.045430136018371,43.143431113552175,0.1870357025379938,0.3768715659204757,0.3768715659204757,2.0149712638094823,12.467021787058552,12.467021787058552,3.0817543173119666
lonestar,App,launch_day,3,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True,hybrid_donor,0.15619290150705964,0.33762183461493167,0.10345876754641684,6.738697686595667,43.143431113552175,0.31155575887514236,0.5888415681972796,0.5888415681972796,1.8900038000365162,19.626927313404334,19.626927313404334,2.912569791110438
lonestar,App,launch_day,7,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True,hybrid_donor,0.2285194349863578,0.33762183461493167,0.15136628410109607,9.859112501441793,43.143431113552175,0.45582446639980956,0.45622012617575647,0.45622012617575647,1.0008680090804951,16.8475701908659,16.8475701908659,1.7088323303342077
lonestar,App,launch_day,14,208,1,5984.85,28.77331730769231,0.9826210452000591,29.28221153846154,33,True,hybrid_donor,0.31367471876491826,0.33762183461493167,0.20777128474318382,13.533003621097102,43.143431113552175,0.6256824996642621,0.35693854553579696,0.35693854553579696,0.5704787104119553,15.240313686595208,15.240313686595208,1.1261589897778876
lonestar,App,launch_day,21,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True,hybrid_donor,0.38891593834762705,0.33762183461493167,0.2576094257317135,16.779167995063354,43.143431113552175,0.7757650900995422,0.21833411032077077,0.21833411032077077,0.2814435878943138,12.330255081859725,12.330255081859725,0.7348549752578581
lonestar,App,launch_day,28,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True,hybrid_donor,0.45282860357153354,0.33762183461493167,0.2999437796675948,19.536579664434484,43.143431113552175,0.9032507742979825,0.09429138013418459,0.09429138013418459,0.10439114232420005,9.673660720180902,9.673660720180902,0.49515631120381787
lonestar,App,launch_week,1,2000,7,12780.349999999999,6.390174999999999,0.1487017805794277,42.97309,27,True,hybrid_donor,0.09376700071375696,0.33762183461493167,0.062109213906438726,4.045430136018371,43.143431113552175,0.21171740117082452,-0.06301562059139681,0.06301562059139681,0.29764025178333153,2.344744863981628,2.344744863981628,0.5796033512246965
