brand,method,population,goal_horizon,day,ARPU_nominal,ARPU_at_horizon,raw_goal_ratio,organic_share,adjusted_goal_ratio,effective_patch,is_extrapolated
lonestar,hybrid_donor,App,120,7,9.859112501441793,43.143431113552175,0.2285194349863578,0.33762183461493167,0.15136628410109607,1->7,False
lonestar,hybrid_donor,App,120,8,10.435068675484032,43.143431113552175,0.24186923492522547,0.33762183461493167,0.16020890009286093,7->14,False
lonestar,hybrid_donor,App,120,9,10.981265994931839,43.143431113552175,0.254529269265337,0.33762183461493167,0.16859463041277598,7->14,False
lonestar,hybrid_donor,App,120,10,11.47085683097123,43.143431113552175,0.2658772502534694,0.33762183461493167,0.17611128524051978,7->14,False
lonestar,hybrid_donor,App,120,11,11.96242519610016,43.143431113552175,0.27727106739877566,0.33762183461493167,0.18365830093796065,7->14,False
lonestar,hybrid_donor,App,120,12,12.418776702616562,43.143431113552175,0.2878486106014778,0.33762183461493167,0.1906646345988478,7->14,False
lonestar,hybrid_donor,App,120,13,12.914392493730737,43.143431113552175,0.29933624100828826,0.33762183461493167,0.19827379015233262,7->14,False
lonestar,hybrid_donor,App,120,14,13.533003621097102,43.143431113552175,0.31367471876491826,0.33762183461493167,0.20777128474318382,7->14,False
lonestar,hybrid_donor,App,120,15,13.978088417567998,43.143431113552175,0.32399111653354834,0.33762183461493167,0.21460464137055163,14->30,False
lonestar,hybrid_donor,App,120,16,14.463143885375123,43.143431113552175,0.3352339744910083,0.33762183461493167,0.22205166499809886,14->30,False
lonestar,hybrid_donor,App,120,17,15.011400906142786,43.143431113552175,0.3479417496172996,0.33762183461493167,0.23046901777237772,14->30,False
lonestar,hybrid_donor,App,120,18,15.553908434429445,43.143431113552175,0.36051626013452753,0.33762183461493167,0.23879809897939439,14->30,False
lonestar,hybrid_donor,App,120,19,15.978342757465525,43.143431113552175,0.37035401091329573,0.33762183461493167,0.2453144102917504,14->30,False
lonestar,hybrid_donor,App,120,20,16.342657263218676,43.143431113552175,0.37879827453234555,0.33762183461493167,0.2509077061357645,14->30,False
lonestar,hybrid_donor,App,120,21,16.779167995063354,43.143431113552175,0.38891593834762705,0.33762183461493167,0.2576094257317135,14->30,False
lonestar,hybrid_donor,App,120,22,17.185163482879133,43.143431113552175,0.39832630459196244,0.33762183461493167,0.263842646860238,14->30,False
lonestar,hybrid_donor,App,120,23,17.532428843647185,43.143431113552175,0.40637539461111416,0.33762183461493167,0.269174188340143,14->30,False
lonestar,hybrid_donor,App,120,24,17.939274016994467,43.143431113552175,0.4158054552911857,0.33762183461493167,0.2754204546328786,14->30,False
lonestar,hybrid_donor,App,120,25,18.255519346661348,43.143431113552175,0.4231355475324479,0.33762183461493167,0.28027574768374924,14->30,False
lonestar,hybrid_donor,App,120,26,18.56647049701424,43.143431113552175,0.4303429286406977,0.33762183461493167,0.2850497595594627,14->30,False
lonestar,hybrid_donor,App,120,27,19.107688426395853,43.143431113552175,0.44288754819024495,0.33762183461493167,0.2933590416421455,14->30,False
lonestar,hybrid_donor,App,120,28,19.536579664434484,43.143431113552175,0.45282860357153354,0.33762183461493167,0.2999437796675948,14->30,False
lonestar,hybrid_donor,App,120,29,19.875881180516444,43.143431113552175,0.46069310361996335,0.33762183461493167,0.3051530527813445,14->30,False
lonestar,hybrid_donor,App,120,30,20.23445100507076,43.143431113552175,0.46900421414825144,0.33762183461493167,0.3106581509253845,14->30,False
lonestar,hybrid_donor,App,120,31,20.654664496646298,43.143431113552175,0.4787441323867789,0.33762183461493167,0.31710966009922087,30->60,False
lonestar,hybrid_donor,App,120,32,21.089106821540355,43.143431113552175,0.4888138536324215,0.33762183461493167,0.3237796235838487,30->60,False
lonestar,hybrid_donor,App,120,33,21.629186733461204,43.143431113552175,0.501332095644731,0.33762183461493167,0.33207143376180853,30->60,False
lonestar,hybrid_donor,App,120,34,21.998848140315598,43.143431113552175,0.5099002924087171,0.33762183461493167,0.33774682021499597,30->60,False
lonestar,hybrid_donor,App,120,35,22.447446811676887,43.143431113552175,0.5202981365250228,0.33762183461493167,0.3446341251247144,30->60,False
lonestar,hybrid_donor,App,120,36,22.976302207488967,43.143431113552175,0.5325562110954053,0.33762183461493167,0.3527536060697977,30->60,False
lonestar,hybrid_donor,App,120,37,23.32242075326843,43.143431113552175,0.5405787196638241,0.33762183461493167,0.35806754057713297,30->60,False
lonestar,hybrid_donor,App,120,38,23.69590884994352,43.143431113552175,0.549235613356217,0.33762183461493167,0.36380167793903373,30->60,False
lonestar,hybrid_donor,App,120,39,24.045685038423976,43.143431113552175,0.5573429005944491,0.33762183461493167,0.3691717679861437,30->60,False
lonestar,hybrid_donor,App,120,40,24.332703334439277,43.143431113552175,0.5639955540484565,0.33762183461493167,0.3735783403759517,30->60,False
lonestar,hybrid_donor,App,120,41,24.636323413126547,43.143431113552175,0.5710330119151744,0.33762183461493167,0.37823979880668307,30->60,False
lonestar,hybrid_donor,App,120,42,24.907829449352764,43.143431113552175,0.577326114462156,0.33762183461493167,0.38240821252633284,30->60,False
lonestar,hybrid_donor,App,120,43,25.305676426444016,43.143431113552175,0.5865476104540749,0.33762183461493167,0.38851633012356585,30->60,False
lonestar,hybrid_donor,App,120,44,25.72777113234672,43.143431113552175,0.5963311324180969,0.33762183461493167,0.3949967214530993,30->60,False
lonestar,hybrid_donor,App,120,45,26.046589704483313,43.143431113552175,0.6037208685588658,0.33762183461493167,0.3998915213207015,30->60,False
lonestar,hybrid_donor,App,120,46,26.390217018220493,43.143431113552175,0.6116856341064358,0.33762183461493167,0.40516720811182316,30->60,False
lonestar,hybrid_donor,App,120,47,26.7317418989045,43.143431113552175,0.6196016684103631,0.33762183461493167,0.41041061639118376,30->60,False
lonestar,hybrid_donor,App,120,48,26.952555648918896,43.143431113552175,0.6247197998226104,0.33762183461493167,0.4138007548862278,30->60,False
lonestar,hybrid_donor,App,120,49,27.26529905990394,43.143431113552175,0.631968722843172,0.33762183461493167,0.41860228321760495,30->60,False
lonestar,hybrid_donor,App,120,50,27.579400417786246,43.143431113552175,0.6392491210353233,0.33762183461493167,0.4234246600153949,30->60,False
lonestar,hybrid_donor,App,120,51,27.832932695256748,43.143431113552175,0.6451256188225116,0.33762183461493167,0.42731712383856213,30->60,False
lonestar,hybrid_donor,App,120,52,28.152217965880805,43.143431113552175,0.6525261723339768,0.33762183461493167,0.4322190888963205,30->60,False
