brand,population,slice,n_users,shape_n_days,shape_mae,shape_median_ae,shape_bias,shape_median_ape,level_n_days,level_mae,level_median_ae,level_bias,level_median_ape,adj_n_days,adj_mae,adj_median_ae,adj_bias,adj_median_ape
realprize,App,2026-04-10,592,120,0.10740545917074856,0.08067837105298364,-0.07316004134724029,0.10200574062732173,120,5.89097217369449,4.719063698403515,3.6282437591208634,0.3054435504864894,120,0.14605696118429956,0.12727931175836843,0.08264934321233287,0.30921677884415705
realprize,App,2026-04-11,624,120,0.15774515002032483,0.14516142535634946,0.14508929199415305,0.24007488588221265,120,71.3822224149411,82.4782700585838,71.37027359785382,3.59726785085782,120,0.306361641544549,0.33396443107028345,0.3008986765537262,0.5895658510850217
realprize,App,2026-04-12,679,120,0.019435704138794703,0.01385910336516949,-0.0032849098390566934,0.02081506861987449,120,10.007862763869358,10.557113515598147,-10.007862763869358,0.5031509779256151,120,0.1565382362508597,0.1491615663154826,0.15252447472051647,0.30600652887077595
realprize,App,2026-04-13,726,120,0.06616761343263862,0.06311269575560308,0.031237643329624747,0.12062430765413042,120,54.10280187260238,63.45219396127078,54.0608508023728,2.7308130275815152,120,0.191600144996785,0.2331453743167326,0.1870470278891979,0.3743740325803342
realprize,App,2026-04-14,334,120,0.03137561828543053,0.026850094295020555,0.0024440854049805672,0.03266808427429799,120,8.438199288904709,8.510057281968205,-8.438199288904709,0.4231783753675947,120,0.15841777721764672,0.17636008489565136,0.15825346996455375,0.31725366273271693
realprize,App,overall,2955,120,0.07663247285725582,0.07714077579945208,0.05834781710944364,0.10733194262690288,120,25.882383331831686,30.340569610816985,25.826548674728095,1.329669731788512,120,0.2185277695165243,0.2610670456746965,0.2141572016690168,0.4327111595933353
realprize,Blended,2026-04-10,1424,120,0.06972125211693479,0.07802855536802762,-0.06941364068741601,0.12603639696596583,120,4.126571284598479,3.618162005544111,-0.2839845827620009,0.08553519975495522,120,0.06972125211693479,0.07802855536802762,-0.06941364068741601,0.12603639696596583
realprize,Blended,2026-04-11,1479,120,0.10735863494199523,0.09006441867007431,0.10346778433463387,0.14781258875537834,120,17.128963201344856,17.54878541140819,17.059277922286835,0.39111165630491884,120,0.10735863494199523,0.09006441867007431,0.10346778433463387,0.14781258875537834
realprize,Blended,2026-04-12,1490,120,0.1969640678207221,0.1985748717256876,-0.19692236130402027,0.3602328144071606,120,9.12020187313995,7.3881111781165885,3.0114973930505324,0.22694709967733298,120,0.1969640678207221,0.1985748717256876,-0.19692236130402027,0.3602328144071606
realprize,Blended,2026-04-13,1655,120,0.050681996766850236,0.05050165048148783,-0.013670334964356741,0.07700469750218832,120,7.728375489423609,6.786704095165902,7.624258445755034,0.19373311643286312,120,0.050681996766850236,0.05050165048148783,-0.013670334964356741,0.07700469750218832
realprize,Blended,2026-04-14,1048,120,0.028444274090855263,0.024078016073745656,0.003992504040653185,0.03817000237750369,120,5.365678548047716,5.284652534566831,5.315163720944719,0.12831124624620371,120,0.028444274090855263,0.024078016073745656,0.003992504040653185,0.03817000237750369
realprize,Blended,overall,7096,120,0.04582731588101623,0.05027132419588405,-0.04481092765177085,0.06840534238073516,120,6.838204319891347,7.550474489008806,6.694172551314696,0.17119240744587017,120,0.04582731588101623,0.05027132419588405,-0.04481092765177085,0.06840534238073516
realprize,Web,2026-04-10,12,120,0.07746904564401849,0.038100496705833986,-0.04459338970318625,0.04598997748765077,120,10.672320168923628,10.388155390926972,10.672320168923628,8.888762589677713,120,0.3315603582276889,0.30450226602776453,0.3029086515868612,0.8902621330009275
realprize,Web,2026-04-11,15,120,0.2417235230713439,0.2516142663438523,0.2417235230713439,0.4094810690602595,120,1.6259604467014062,1.5789594850274233,1.6259604467014062,1.4190748773976978,120,0.5892255643613914,0.571379602732837,0.5892255643613914,1.7232404367260759
realprize,Web,2026-04-12,9,120,0.2557672168086194,0.2840233462191998,0.08800993623567566,0.4125270344676937,120,0.6304506644097045,0.6937256378701302,-0.6304506644097045,0.4861875624020654,120,0.5223389458593968,0.5521183481081926,0.43551197752572307,1.2327405039507942
realprize,Web,2026-04-13,15,120,0.24324042270374382,0.20091286422207222,0.23729043525832713,0.3566120377504475,120,17.24922711336807,17.916187922185166,17.24922711336807,13.726085928296914,120,0.586485838751598,0.5820751056013648,0.5847924765483745,1.5715719411385374
realprize,Web,2026-04-14,14,120,0.16591671756300846,0.12658229709399066,0.158843269569009,0.17166692933674454,120,0.8827264580604982,0.80950579286674,-0.8827264580604982,0.7134926578374271,120,0.5063453108590564,0.5385120272778935,0.5063453108590564,1.263762763746693
realprize,Web,overall,65,120,0.13651697570610435,0.1288942929117483,0.12824118694288705,0.15627962223754513,120,6.048668139009099,6.305028999901481,6.048668139009099,4.670882939609701,120,0.476858207525612,0.50801882866979,0.47574322823293447,1.2226407750603632
