brand,population,patch,n_cohort_dates,n_users,cv_before,cv_after,existing_flagged_status,mean,std,median,MAD,relative_mad_raw,scaled_mad_cv,p10,p25,p75,p90,IQR,relative_IQR,p90_p10_ratio,relative_p10_p90_spread,p10_ratio_valid,median_denominator_valid,std_log,log_p90_p10_spread,pct_positive_for_log,n_excluded_from_log,skewness,is_focus_case,cv_percentile_within_patch,rmad_percentile_within_patch,riqr_percentile_within_patch,p10_p90_percentile_within_patch,log_dispersion_percentile_within_patch,tail_sensitivity_signal,cv_minus_rmad_rank,cv_minus_log_rank,diagnostic_interpretation
realprize,App,1->7,30,31030,0.3413817307111275,0.22307881215105532,True,2.1288474505683714,0.38255178040868715,2.0472234799385873,0.25626853735034283,0.12517858448850458,0.1855897693626569,1.7242725985878966,1.9163430733187157,2.3278323848980564,2.5336326835647958,0.41148931157934077,0.2009987261340343,1.4693921863861488,0.3953452531724472,True,True,0.1762655766491314,0.3848488366358993,1.0,0,0.7644827218173854,True,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,CV is high in absolute terms but relatively normal compared with other populations in the same maturity patch. High CV but relatively concentrated central distribution; tails appear important.
realprize,App,7->14,30,32124,0.1700342229995119,0.11158643052714079,False,1.3071574370842522,0.133618450276318,1.302408482567457,0.11489277155393884,0.08821561982416534,0.13078847795130752,1.1620256986044337,1.1747092093731895,1.3731559540403246,1.495344126565651,0.1984467446671352,0.15236905112590654,1.2868425615384627,0.2559246445509491,True,True,0.09976071848866062,0.2521915913241442,1.0,0,0.7081374609712171,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.0,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,App,14->30,31,33338,0.2551021715692688,0.09372262843266262,False,1.4115065456841427,0.12907815027219383,1.4019919478479188,0.08459887872834071,0.06034191484352061,0.08946292294700366,1.2450942836183734,1.3190962456399,1.4865822112314793,1.6175963197239789,0.16748596559157924,0.11946285843415365,1.299175766049681,0.26569484701920176,True,True,0.09029084899223179,0.2617300372723057,1.0,0,0.480156240226188,False,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,App,30->60,30,29597,0.16375346023553383,0.1175781206425376,False,1.451013219067449,0.17699405917285035,1.419801801534229,0.13155779658273914,0.09265926866734399,0.1373766317262042,1.245112351565951,1.3150643270020193,1.5713655128543043,1.7133897048996651,0.256301185852285,0.180518989041518,1.376092448801726,0.3298188189560659,True,True,0.11953477494844914,0.31924792388339285,1.0,0,0.5340751168724318,False,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,App,60->90,30,21618,0.24250517284949455,0.13242946501850641,False,1.2403486982473382,0.1407752493972091,1.220295613631875,0.08780331738549074,0.07195249774287746,0.10667677315359012,1.0843925246095754,1.1303133854295684,1.2927696209524542,1.4852802633387843,0.1624562355228858,0.13312859089887194,1.3696887701006095,0.3285169054538159,True,True,0.10970259644448085,0.3145835389228156,1.0,0,0.8479971017656934,False,1.0,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571,0.1428571428571429,0.2857142857142857,0.1428571428571429,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,App,90->120,32,19076,0.14035780985937577,0.07948050654263518,False,1.151617471681225,0.1057283794094517,1.1165092767206646,0.0690780262949976,0.061869639361966516,0.09172792731805156,1.031261956383766,1.0798878656213784,1.2218084923171826,1.2819148518854186,0.1419206266958042,0.12711101435058725,1.2430545352226459,0.22449692154627987,True,True,0.08872991216923903,0.21757168543794264,1.0,0,0.9683109092701204,False,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143,-0.14285714285714285,-0.28571428571428575,-0.28571428571428575,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,App,120->150,35,13650,0.052291814061530384,0.052291814061530384,False,1.090426833633522,0.0642214352746174,1.0748203661256541,0.03863435414356031,0.035944940532550054,0.0532919688335587,1.0230659900869954,1.0395407259451916,1.1261204099001838,1.1766694017737327,0.08657968395499216,0.08055270134774352,1.150140277533491,0.1429107751655498,True,True,0.05754050583949906,0.1398839154000521,1.0,0,0.9500191748970241,False,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.42857142857142855,-0.4285714285714286,-0.2857142857142857,-0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,App,150->180,35,19839,0.07265065198695278,0.07265065198695278,False,1.1043401852377464,0.08834481953986734,1.0802728913151305,0.06009545974529362,0.055629887807453045,0.08247687166332987,1.018024929170203,1.0410403122604315,1.1569027855498486,1.2006810079856607,0.11586247328941712,0.10725296748709992,1.179422009797286,0.16908327542413018,True,True,0.07593995904442254,0.16502449626979898,1.0,0,1.6853156497157789,False,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,-0.1428571428571428,-0.1428571428571428,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,App,180->270,30,13298,0.3083906967270658,0.10929313518513359,False,1.243625311413281,0.15879625329250743,1.1857167172136323,0.09893158448288197,0.08343610497064227,0.12370236922947421,1.0799613529823693,1.0990143760474718,1.3456890884245811,1.5045879153749289,0.24667471237710936,0.20803848743634237,1.3931868128613412,0.3581180531808712,True,True,0.12310646564382312,0.33159379410555334,1.0,0,0.8254478843849835,False,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,-0.1428571428571428,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,App,270->365,33,24384,0.20649108663055446,0.08592745486612158,False,1.1448685928997087,0.11072104192646445,1.1307955780448469,0.08827656856132693,0.07806589473400463,0.11574049553263525,1.022024540017485,1.0414743363789127,1.218466782905688,1.2818418499302533,0.17699244652677537,0.156520285331144,1.2542182694637873,0.22976505652948712,True,True,0.0936027312940477,0.22651248564785373,1.0,0,0.927120686086623,False,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5714285714285714,-0.5714285714285714,-0.5714285714285714,-0.2857142857142857,Distribution appears broadly stable relative to peers (or not in high-CV focus).
