brand,population,patch,cohort_date,n_users_from_patch,sum_cum_s,sum_cum_e,ARPU_s,ARPU_e,cohort_metric_used_for_cv,abs_dev,distance_from_mean,distance_from_median,percentile_rank,was_removed_by_existing_trim,n_users,total_revenue,n_payers,payer_rate,ARPPU,max_user_revenue,top1_user_revenue_share,top5_users_revenue_share,pct_users_zero_revenue,pct_users_near_zero_revenue
realprize,Affiliate,270->365,2025-07-26,1138,48221.34000000002,49802.59000000002,42.373760984182795,43.76326010544817,1.0327914985357105,0.08676897723845367,-0.08676897723845367,-0.04795073947656303,0.14285714285714285,False,1138,49802.59000000001,167,0.14674868189806678,298.21910179640724,7444.320000000009,0.14947656336748766,0.5935299750474826,0.8532513181019332,0.8532513181019332
realprize,Affiliate,270->365,2025-07-27,1190,80354.90880000006,82682.98880000008,67.5251334453782,69.48150319327738,1.0289724677031804,0.09058800807098377,-0.09058800807098377,-0.05176977030909313,0.11428571428571428,False,1190,82682.98880000008,128,0.10756302521008404,645.9608500000006,19225.239400000035,0.23251747038926604,0.7182707067309112,0.892436974789916,0.892436974789916
realprize,Affiliate,270->365,2025-07-28,1045,259942.7811999999,267125.7511999999,248.7490729186602,255.62272842105253,1.0276328889259418,0.09192758684822233,-0.09192758684822233,-0.05310934908633169,0.08571428571428572,False,1045,267125.75119999994,115,0.11004784688995216,2322.832619130434,89511.23059999995,0.3350902344603307,0.812302072058712,0.8899521531100478,0.8899521531100478
realprize,Affiliate,270->365,2025-07-29,1146,115679.63,127917.24359999967,100.9420855148342,111.62063141361227,1.1057888376717635,0.013771638102400674,-0.013771638102400674,0.025046599659489965,0.6,False,1146,127917.24359999967,190,0.16579406631762653,673.248650526314,19282.376799999834,0.15074102800632802,0.6249361020471511,0.8342059336823735,0.8342059336823735
realprize,Affiliate,270->365,2025-07-30,1079,110806.44899999988,124149.28899999987,102.69365060240952,115.05958202038913,1.120415735008348,0.0008552592341837251,0.0008552592341837251,0.039673496996074364,0.6571428571428571,False,1079,124149.28899999987,160,0.14828544949026876,775.9330562499993,18672.934499999938,0.15040709979418374,0.5473846813572968,0.8517145505097312,0.8517145505097312
realprize,Affiliate,270->365,2025-07-31,1163,69614.39680000002,95178.86360000004,59.857606878761835,81.83909165950132,1.367229595818318,0.24766912004415387,0.24766912004415387,0.2864873578060445,1.0,False,1163,95178.86360000004,173,0.14875322441960448,550.1668416184973,18456.62680000002,0.19391518349668563,0.6411028803247868,0.8512467755803955,0.8512467755803955
realprize,Affiliate,270->365,2025-08-01,1157,141504.4716,184714.4024,122.30291408815903,159.64944027657734,1.3053608858534473,0.18580041007928316,0.18580041007928316,0.2246186478411738,0.9428571428571428,False,1157,184714.4024,204,0.1763180639585134,905.4627568627451,25164.750799999994,0.1362359971557908,0.6161589509059311,0.8236819360414867,0.8236819360414867
realprize,Affiliate,270->365,2025-08-02,1201,167758.71359999946,184786.69359999945,139.68252589508697,153.86069408825932,1.1015028050382,0.018057670735964093,-0.018057670735964093,0.020760567025926546,0.5714285714285714,False,1201,184786.69359999942,165,0.13738551207327226,1119.9193551515116,37649.926799999725,0.20374804087083814,0.7725323767576732,0.8626144879267277,0.8626144879267277
realprize,Affiliate,270->365,2025-08-03,1245,98430.72880000008,102044.09880000008,79.0608263453816,81.96313156626512,1.0367097759414332,0.08285069983273097,-0.08285069983273097,-0.04403246207084033,0.17142857142857143,False,1245,102044.0988000001,174,0.13975903614457832,586.460337931035,16143.364400000044,0.15819988210822467,0.6260137484794959,0.8602409638554217,0.8602409638554217
realprize,Blended,1->7,2026-06-23,2250,5988.43,17640.13,2.6615244444444444,7.840057777777778,2.9457019619499603,0.5051342018908422,0.5051342018908422,0.6965950446362057,0.8571428571428571,False,2250,17640.129999999997,242,0.10755555555555556,72.89309917355371,6180.799999999999,0.35038290534140054,0.49843000023242473,0.8924444444444445,0.8924444444444445
