brand,population,patch,cohort_start,cohort_end,n_cohort_dates_total,n_cohort_dates_kept,n_users_excluded_prior,n_users_pre_trim,n_users_post_trim,n_users_dropped_by_trim,total_rev_before_trim,total_rev_after_trim,cv_before,cv_after,mean_after,flagged,removed_dates,trim_method,trim_pct,pct_users_zero_revenue,pct_users_near_zero_revenue,pct_cohort_metric_zero_before,pct_cohort_metric_near_zero_before,pct_cohort_metric_zero_after,pct_cohort_metric_near_zero_after,time_trend_corr,time_trend_slope_per_day,time_trend_strength,time_trend_flag,cv_threshold_used,near_zero_growth_threshold,near_zero_user_rev_threshold,n_observations_before,mean_before,std_before,min_before,p10_before,p25_before,median_before,p75_before,p90_before,p95_before,max_before,iqr_before,pct_zero_before,pct_near_zero_before,skewness_before,n_observations_after,std_after,min_after,p10_after,p25_after,median_after,p75_after,p90_after,p95_after,max_after,iqr_after,pct_zero_after,pct_near_zero_after,skewness_after,cv_reduction_from_trim,is_focus_case
realprize,App,1->7,2026-06-23,2026-07-27,35,30,0,31034,31034,0,411808.7300000001,411808.7300000001,0.3413817307111275,0.22307881215105532,2.1288474505683714,True,"[datetime.date(2026, 7, 13), datetime.date(2026, 6, 27), datetime.date(2026, 7, 8), datetime.date(2026, 7, 17), datetime.date(2026, 6, 30)]",winsor,0.0,0.8773925372172456,0.8773925372172456,0.0,0.0,0.0,0.0,-0.2021650088355443,-0.01656784824453766,0.2021650088355443,False,0.15,1e-06,1e-06,35,2.4270293440921256,0.8276756998037398,1.362553521690335,1.7341745839291256,1.9452389646625,2.1518813092688895,2.458281196610156,3.8231164174804904,4.172560236239496,4.926969288308088,0.5130422319476562,0.0,0.0,1.5951846152299827,30,0.38255178040868715,1.362553521690335,1.7242725985878966,1.9163430733187157,2.0472234799385873,2.3278323848980564,2.5336326835647953,2.7652977399915737,3.2667161000637597,0.41148931157934077,0.0,0.0,0.7644827218173853,0.11830291856007216,True
realprize,App,7->14,2026-06-16,2026-07-20,35,30,0,32127,32127,0,551877.89,551877.89,0.1700342229995119,0.11158643052714079,1.3071574370842522,False,"[datetime.date(2026, 7, 14), datetime.date(2026, 6, 30), datetime.date(2026, 7, 19), datetime.date(2026, 6, 27), datetime.date(2026, 6, 19)]",winsor,0.0,0.8688019422915305,0.8688019422915305,0.0,0.0,0.0,0.0,-0.15497640470852347,-0.0035584308253975125,0.15497640470852347,False,0.15,1e-06,1e-06,35,1.3836819915995555,0.23189587963926955,1.1250765132253926,1.1635500750337724,1.1831159505108446,1.3281691990624747,1.4700639740793984,1.7138279730613948,1.819228855049529,2.0750439460514523,0.28694802356855376,0.0,0.0,1.352135265409909,30,0.133618450276318,1.1250765132253926,1.1620256986044337,1.1747092093731895,1.302408482567457,1.3731559540403246,1.495344126565651,1.5528934315348188,1.6387453276338029,0.1984467446671352,0.0,0.0,0.7081374609712171,0.05844779247237111,False
realprize,App,14->30,2026-05-31,2026-07-04,35,31,0,33341,33341,0,787255.22,787255.22,0.2551021715692688,0.09372262843266259,1.4115065456841427,False,"[datetime.date(2026, 6, 24), datetime.date(2026, 6, 4), datetime.date(2026, 6, 13), datetime.date(2026, 6, 27)]",winsor,0.0,0.858882457034882,0.858882457034882,0.0,0.0,0.0,0.0,0.07260433490846321,0.0034835782002983757,0.07260433490846321,False,0.15,1e-06,1e-06,35,1.5505389075489298,0.48457733661296054,1.2031444636814603,1.2546781562418468,1.3317147675499788,1.4267924921148072,1.5168512229396613,1.9252605516067376,2.2045771908299665,3.979605607015938,0.1851364553896826,0.0,0.0,3.8971764060094998,31,0.12907815027219383,1.2031444636814603,1.2450942836183734,1.3190962456399,1.4019919478479188,1.4865822112314793,1.6175963197239789,1.6512475225640406,1.7007699585918024,0.16748596559157924,0.0,0.0,0.4801562402261883,0.16137954313660618,False
realprize,App,30->60,2026-05-01,2026-06-04,35,30,0,29598,29598,0,1106648.9200000002,1106648.9200000002,0.16375346023553383,0.1175781206425376,1.451013219067449,False,"[datetime.date(2026, 5, 21), datetime.date(2026, 5, 5), datetime.date(2026, 5, 7), datetime.date(2026, 5, 22), datetime.date(2026, 5, 14)]",winsor,0.0,0.8505642273126562,0.8505642273126562,0.0,0.0,0.0,0.0,-0.19103944666344352,-0.004601477033753585,0.19103944666344352,False,0.15,1e-06,1e-06,35,1.5019250421884012,0.24326201126278213,1.1451539125579946,1.2419743633137525,1.3188457074868758,1.4481972904193818,1.6531836381307257,1.8460959703720603,1.9286446578249086,2.1196429893283786,0.33433793064384987,0.0,0.0,0.7593925997153423,30,0.17699405917285035,1.2216470129729253,1.245112351565951,1.3150643270020193,1.419801801534229,1.5713655128543043,1.7133897048996651,1.771776516090996,1.8084121335464864,0.256301185852285,0.0,0.0,0.5340751168724318,0.04617533959299623,False
realprize,App,60->90,2026-04-01,2026-05-05,35,30,0,21618,21618,0,1304184.93,1304184.93,0.24250517284949455,0.13242946501850641,1.2403486982473382,False,"[datetime.date(2026, 5, 3), datetime.date(2026, 4, 28), datetime.date(2026, 5, 2), datetime.date(2026, 5, 4), datetime.date(2026, 4, 26)]",winsor,0.0,0.8232491442316588,0.8232491442316588,0.0,0.0,0.0,0.0,0.455739010363942,0.013783456578700951,0.455739010363942,False,0.15,1e-06,1e-06,35,1.3306939093703427,0.30545133205249386,1.0463350360705612,1.0841204693779072,1.13098378470402,1.2456770228594334,1.3853720441829551,1.7489382480458355,2.0530696976333904,2.321542405022606,0.25438825947893506,0.0,0.0,1.862003663314806,30,0.1407752493972091,1.0501205486041854,1.0843925246095754,1.1303133854295684,1.220295613631875,1.2927696209524542,1.4852802633387843,1.5193685831737311,1.5641448145969759,0.1624562355228858,0.0,0.0,0.8479971017656934,0.11007570783098813,False
realprize,App,90->120,2026-03-02,2026-04-05,35,32,0,19076,19076,0,1192681.77,1192681.77,0.14035780985937577,0.07948050654263518,1.151617471681225,False,"[datetime.date(2026, 3, 13), datetime.date(2026, 3, 11), datetime.date(2026, 3, 21)]",winsor,0.0,0.8424197945061858,0.8424197945061858,0.0,0.0,0.0,0.0,-0.2808334610966115,-0.005793443369805269,0.2808334610966115,False,0.15,1e-06,1e-06,35,1.2029410431769523,0.20834735894732745,1.0156030262450286,1.0342793538799109,1.0831714528671434,1.119721173968021,1.2296033535085584,1.404183050501561,1.5440201272662213,2.0638496730692726,0.14643190064141498,0.0,0.0,2.539408148079097,32,0.1057283794094517,1.0156030262450286,1.031261956383766,1.0798878656213784,1.1165092767206646,1.2218084923171826,1.2819148518854186,1.3789591407387085,1.4101905722644328,0.1419206266958042,0.0,0.0,0.9683109092701204,0.060877303316740586,False
realprize,App,120->150,2026-01-31,2026-03-06,35,35,0,13650,13650,0,719706.8200000001,719706.8200000001,0.052291814061530384,0.052291814061530384,1.090426833633522,False,[],winsor,0.0,0.8463003663003663,0.8463003663003663,0.0,0.0,0.0,0.0,0.10928835194629069,0.0006949503825742164,0.10928835194629069,False,0.15,1e-06,1e-06,35,1.090426833633522,0.0642214352746174,1.0123774719035656,1.0230659900869954,1.0395407259451916,1.0748203661256541,1.1261204099001838,1.1766694017737327,1.2262956885806928,1.2574463178861488,0.08657968395499216,0.0,0.0,0.9500191748970241,35,0.0642214352746174,1.0123774719035656,1.0230659900869954,1.0395407259451916,1.0748203661256541,1.1261204099001838,1.1766694017737327,1.2262956885806928,1.2574463178861488,0.08657968395499216,0.0,0.0,0.9500191748970241,0.0,False
realprize,App,150->180,2026-01-01,2026-02-04,35,35,0,19839,19839,0,646209.1,646209.1,0.07265065198695278,0.07265065198695278,1.1043401852377464,False,[],winsor,0.0,0.9060436513937195,0.9060436513937195,0.0,0.0,0.0,0.0,0.15171384605643776,0.0013271078566250807,0.15171384605643776,False,0.15,1e-06,1e-06,35,1.1043401852377464,0.08834481953986734,1.0029533496890348,1.018024929170203,1.0410403122604315,1.0802728913151305,1.1569027855498486,1.2006810079856607,1.2230380940129817,1.441844059119681,0.11586247328941712,0.0,0.0,1.6853156497157789,35,0.08834481953986734,1.0029533496890348,1.018024929170203,1.0410403122604315,1.0802728913151305,1.1569027855498486,1.2006810079856607,1.2230380940129817,1.441844059119681,0.11586247328941712,0.0,0.0,1.6853156497157789,0.0,False
realprize,App,180->270,2025-10-03,2025-11-06,35,30,0,13298,13298,0,458512.9700000001,458512.9700000001,0.3083906967270658,0.10929313518513359,1.243625311413281,False,"[datetime.date(2025, 10, 29), datetime.date(2025, 10, 27), datetime.date(2025, 10, 30), datetime.date(2025, 11, 2), datetime.date(2025, 10, 16)]",winsor,0.0,0.9231463377951572,0.9231463377951572,0.0,0.0,0.0,0.0,0.299636443840333,0.015968153246398952,0.299636443840333,False,0.15,1e-06,1e-06,35,1.399930932152617,0.5382203863618347,1.0609506022796062,1.0788839898717677,1.102219247174996,1.2416112970535782,1.4068182594206267,1.8045572530018397,2.3934238162746713,3.8955450066881983,0.3045990122456306,0.0,0.0,3.320670122723108,30,0.15879625329250743,1.0631687550962676,1.0799613529823693,1.0990143760474718,1.1857167172136323,1.3456890884245811,1.5045879153749289,1.5213938615441975,1.642838214835153,0.24667471237710936,0.0,0.0,0.8254478843849835,0.19909756154193223,False
realprize,App,270->365,2025-06-30,2025-08-03,35,33,0,24384,24384,0,695695.8499999999,695695.8499999999,0.20649108663055446,0.08592745486612158,1.1448685928997087,False,"[datetime.date(2025, 7, 7), datetime.date(2025, 7, 16)]",winsor,0.0,0.937869094488189,0.937869094488189,0.0,0.0,0.0,0.0,-0.10567459787021058,-0.0021254836214049033,0.10567459787021058,False,0.15,1e-06,1e-06,35,1.186070902438287,0.20313616292846853,1.0147636007686396,1.0234167639159537,1.0494969543704666,1.1421025340460569,1.2248870571570483,1.3543388712407198,1.525478656162293,2.038125585984177,0.17539010278658163,0.0,0.0,2.6249298156168814,33,0.11072104192646445,1.0147636007686396,1.022024540017485,1.0414743363789127,1.1307955780448469,1.218466782905688,1.2818418499302533,1.332474750641615,1.4533870372323594,0.17699244652677537,0.0,0.0,0.927120686086623,0.12056363176443288,False
realprize,Affiliate,1->7,2026-06-23,2026-07-27,35,30,0,15181,15181,0,252735.22999999995,188892.91129999998,0.4255446030821991,0.14140344653772502,1.6722571699102666,False,"[datetime.date(2026, 7, 10), datetime.date(2026, 7, 21), datetime.date(2026, 7, 12), datetime.date(2026, 7, 22), datetime.date(2026, 7, 13)]",winsor,0.01,0.774981885251301,0.774981885251301,0.0,0.0,0.0,0.0,0.09644938218219973,0.007374473948594188,0.09644938218219973,False,0.15,1e-06,1e-06,35,1.8524818037669883,0.7722033503710518,1.2144219101347271,1.375623014432979,1.445532172596281,1.6690129983815034,1.8874203582119518,2.2340360089905884,3.3303530118710993,4.835949491838624,0.44188818561567067,0.0,0.0,3.004617110414192,30,0.2503160541920166,1.2525996098840342,1.4088955971203934,1.4691888863775622,1.6637497812962048,1.8033023892996947,2.0150377278285303,2.1314492862805663,2.2463893291602264,0.3341135029221325,0.0,0.0,0.616703687248356,0.2841411565444741,False
realprize,Affiliate,7->14,2026-06-16,2026-07-20,35,33,0,15321,15321,0,347911.87,225133.9661999999,0.11138404857251415,0.09018495310175713,1.216655257198773,False,"[datetime.date(2026, 6, 22), datetime.date(2026, 7, 13)]",winsor,0.01,0.7624828666536126,0.7624828666536126,0.0,0.0,0.0,0.0,-0.20881260347363237,-0.0029938847201952403,0.20881260347363237,False,0.15,1e-06,1e-06,35,1.2410106163697399,0.14480329737131914,1.04885072922008,1.070709507135205,1.1465615893486731,1.1998814518475827,1.3223826621687378,1.4101967457811533,1.4772018410669856,1.7016080970993137,0.17582107282006465,0.0,0.0,1.2207093173104286,33,0.10793052777364348,1.04885072922008,1.069921821965286,1.1411548664191802,1.1947888475150126,1.2966415636554334,1.3726440857262114,1.4079788455254338,1.4313712065462352,0.1554866972362532,0.0,0.0,0.3674844724213133,0.021199095470757018,False
realprize,Affiliate,14->30,2026-05-31,2026-07-04,35,30,0,15296,15296,0,445858.87999999995,303040.7079999996,0.16637637264401606,0.09453153239303941,1.2518250297930666,False,"[datetime.date(2026, 6, 2), datetime.date(2026, 6, 30), datetime.date(2026, 6, 25), datetime.date(2026, 6, 8), datetime.date(2026, 6, 12)]",winsor,0.01,0.741043410041841,0.741043410041841,0.0,0.0,0.0,0.0,0.09207209443407828,0.0016766960355557115,0.09207209443407828,False,0.15,1e-06,1e-06,35,1.3157570761346369,0.18391891697316395,1.037899258037655,1.1086250598901888,1.21984083364485,1.2800508264864936,1.35722474001076,1.6694845002431338,1.6996409153534036,1.7693033713264452,0.1373839063659099,0.0,0.0,0.993892059507741,30,0.1026853739707069,1.037899258037655,1.099985508031128,1.204466497083069,1.2746431281126807,1.3146019300108858,1.3689969212550106,1.3903072156075955,1.4447819315483927,0.1101354329278168,0.0,0.0,-0.5637797383770486,0.07184484025097665,False
realprize,Affiliate,30->60,2026-05-01,2026-06-04,35,32,0,9852,9852,0,639681.73,325514.4523999995,0.12357793433065091,0.09972573540944019,1.2451928352671042,False,"[datetime.date(2026, 5, 8), datetime.date(2026, 5, 20), datetime.date(2026, 5, 21)]",winsor,0.01,0.7137637028014616,0.7137637028014616,0.0,0.0,0.0,0.0,-0.07435527628461074,-0.0011744924881953377,0.07435527628461074,False,0.15,1e-06,1e-06,35,1.2794542250828855,0.15952859403221661,1.0354848581439509,1.0872290406799117,1.1555403962470676,1.2581350188043485,1.375636875712317,1.4223412688629706,1.5866504387925193,1.7475479716398168,0.22009647946524935,0.0,0.0,0.8119077094243022,32,0.11673813559912023,1.0354848581439509,1.076044746534008,1.135538338329848,1.2388632280214025,1.3440614379744702,1.3897905056735702,1.4043925758598377,1.429520186638438,0.20852309964462212,0.0,0.0,-0.17850181320516295,0.023852198921210724,False
realprize,Affiliate,60->90,2026-04-01,2026-05-05,35,35,0,11760,11760,0,781544.9500000001,424822.81020000076,0.07597826735976239,0.07597826735976239,1.1727810278722983,False,[],winsor,0.01,0.708078231292517,0.708078231292517,0.0,0.0,0.0,0.0,0.2891534215247047,0.002652990687545947,0.2891534215247047,False,0.15,1e-06,1e-06,35,1.1727810278722983,0.09266323880557656,1.0407431586806164,1.0665977858720808,1.093648153547324,1.14526333306469,1.2340982579138053,1.300059462760776,1.3529912756763782,1.3666539950026926,0.14045010436648142,0.0,0.0,0.496713547572446,35,0.09266323880557656,1.0407431586806164,1.0665977858720808,1.093648153547324,1.14526333306469,1.2340982579138053,1.300059462760776,1.3529912756763782,1.3666539950026926,0.14045010436648142,0.0,0.0,0.496713547572446,0.0,False
realprize,Affiliate,90->120,2026-03-02,2026-04-05,35,35,0,18373,18373,0,1020010.2800000001,578367.2319,0.07581600323086177,0.07581600323086177,1.110333327438314,False,[],winsor,0.01,0.7804386872040494,0.7804386872040494,0.0,0.0,0.0,0.0,-0.13439571984448728,-0.0009420910256650815,0.13439571984448728,False,0.15,1e-06,1e-06,35,1.110333327438314,0.07079580344533244,1.0395908356406354,1.0487050268310643,1.0642188918313784,1.0792874149853129,1.1344407983338258,1.206348085782593,1.2313777376385295,1.36641735934939,0.07022190650244742,0.0,0.0,1.7491470822179418,35,0.07079580344533244,1.0395908356406354,1.0487050268310643,1.0642188918313784,1.0792874149853129,1.1344407983338258,1.206348085782593,1.2313777376385295,1.36641735934939,0.07022190650244742,0.0,0.0,1.7491470822179418,0.0,False
realprize,Affiliate,120->150,2026-01-31,2026-03-06,35,35,0,19113,19113,0,1662133.4100000001,1135794.4107999995,0.0961025076527806,0.0961025076527806,1.0914653450557947,False,[],winsor,0.01,0.736932977554544,0.736932977554544,0.0,0.0,0.0,0.0,0.08639889013545311,0.0009021486325398813,0.08639889013545311,False,0.15,1e-06,1e-06,35,1.0914653450557947,0.10545568994304821,1.015351391822768,1.0259214900096219,1.0433044331509862,1.0611171607652936,1.1009817927154764,1.1577918203556068,1.2318811834117276,1.6061746836675677,0.05767735956449016,0.0,0.0,3.7176757026908303,35,0.10545568994304821,1.015351391822768,1.0259214900096219,1.0433044331509862,1.0611171607652936,1.1009817927154764,1.1577918203556068,1.2318811834117276,1.6061746836675677,0.05767735956449016,0.0,0.0,3.7176757026908303,0.0,False
realprize,Affiliate,150->180,2026-01-01,2026-02-04,35,35,0,24263,24263,0,2446404.5900000003,1466308.1110999987,0.05290117111940494,0.05290117111940494,1.0866042534994556,False,[],winsor,0.01,0.8207146684251742,0.8207146684251742,0.0,0.0,0.0,0.0,0.15922914626668763,0.0009415020294627425,0.15922914626668763,False,0.15,1e-06,1e-06,35,1.0866042534994556,0.05971710970591087,1.0190420386778785,1.0290584181146212,1.0396734815881512,1.0776777097915715,1.1059192618725913,1.1458761700769922,1.1899550576064908,1.301437947404914,0.06624578028444006,0.0,0.0,1.8509287042239835,35,0.05971710970591087,1.0190420386778785,1.0290584181146212,1.0396734815881512,1.0776777097915715,1.1059192618725913,1.1458761700769922,1.1899550576064908,1.301437947404914,0.06624578028444006,0.0,0.0,1.8509287042239835,0.0,False
