brand,scope,goal_horizon,cohort_start,cohort_end,checkpoint_day,organic_share_pct,users_org,users_acq
lonestar,all,240,2025-11-02,2025-12-06,120,0.23196165462864465,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,150,0.2381763844087134,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,180,0.24098704333202836,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,210,0.24033335276357834,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,240,0.23834390731762614,20794,99194
lonestar,all,270,2025-10-03,2025-11-06,7,0.17630589700563837,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,30,0.19402208978944874,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,60,0.18657887055389866,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,90,0.18525282461740894,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,120,0.1836374298636988,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,150,0.18639360678888,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,180,0.18341760803347298,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,210,0.18050202814595065,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,240,0.17965729925622378,19308,109249
lonestar,all,270,2025-10-03,2025-11-06,270,0.176339410488308,19308,109249
lonestar,all,365,2025-06-30,2025-08-03,7,0.13200204716395744,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,30,0.15848175023742236,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,60,0.16032652563297986,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,90,0.16532120436422884,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,120,0.16384695745948327,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,150,0.18013814805553693,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,180,0.1814140355721433,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,210,0.18341662235888384,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,240,0.18442362606620197,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,270,0.1889743905319066,14481,105599
lonestar,all,365,2025-06-30,2025-08-03,365,0.21366916921305681,14481,105599
