brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
realprize,Affiliate,overall_level,30,4552,10,146100.94999999998,32.095990773286466,,,,False,0.6465829787597109,0.5132033355491407,0.3147544373509281,11.99140687006469,18.54581277884373,,,,,20.104583903221776,20.104583903221776,1.6765825829336836
realprize,Affiliate,overall_level,35,2554,5,119413.02,46.755293657008615,,,,False,0.6817570845517039,0.5132033355491407,0.331877074725512,12.643739250746235,18.54581277884373,,,,,34.11155440626238,34.11155440626238,2.6979008131830233
realprize,Affiliate,overall_level,39,321,1,41033.189999999995,127.82925233644858,,,,False,0.7087352689671614,0.5132033355491407,0.34500996491189684,13.14407160802843,18.54581277884373,,,,,114.68518072842015,114.68518072842015,8.725240104319743
realprize,App,first_5_days,1,4374,5,26714.870000000003,6.107652034750801,0.17077262347147695,35.76481938728852,35.0,True,0.1247431584359511,0.1291826751611969,0.10862850352113791,3.9939855016249086,32.017671764144126,0.21659373028792514,-0.04582110681644819,0.04582110681644819,0.21155324651150653,2.1136665331258926,2.1136665331258926,0.5292123700163586
realprize,App,first_5_days,7,4374,5,79335.18,18.1379012345679,0.5071436552819402,35.76481938728852,35.0,True,0.2650119708504135,0.1291826751611969,0.23077701550621596,8.48506629625747,32.017671764144126,0.46014492543827734,0.04699872984366282,0.04699872984366282,0.1021389724093939,9.652834938310429,9.652834938310429,1.1376263427155577
realprize,App,first_5_days,14,4374,5,103328.91,23.62343621399177,0.6605216136611605,35.76481938728852,35.0,True,0.36366138846852253,0.1291826751611969,0.31668263745332353,11.643590969278062,32.017671764144126,0.6314316366338122,0.02908997702734828,0.02908997702734828,0.046069875723091944,11.979845244713708,11.979845244713708,1.028878915132184
realprize,App,first_5_days,30,4374,5,144889.31,33.125128029263834,0.9261930745563088,35.76481938728852,35.0,True,0.5199016938120633,0.1291826751611969,0.4527394021845835,16.646041782097203,32.017671764144126,0.9027144146232543,0.023478659933054535,0.023478659933054535,0.02600895649024647,16.47908624716663,16.47908624716663,0.9899702561656349
realprize,App,first_5_days,35,4374,5,156435.31999999998,35.76481938728852,1.0,35.76481938728852,35.0,True,0.5759315298283377,0.1291826751611969,0.5015311540954324,18.4399866806651,32.017671764144126,1.0,0.0,0.0,0.0,17.32483270662342,17.32483270662342,0.9395252288760623
realprize,App,first_day,1,764,1,13378.27,17.510824607329845,0.21081378181860017,83.06299738219894,39.0,True,0.1247431584359511,0.1291826751611969,0.10862850352113791,3.9939855016249086,32.017671764144126,0.20800584149867482,0.002807940319925345,0.002807940319925345,0.013499333959538026,13.516839105704936,13.516839105704936,3.384298490869774
realprize,App,first_day,7,764,1,43703.01,57.20289267015707,0.6886687751821499,83.06299738219894,39.0,True,0.2650119708504135,0.1291826751611969,0.23077701550621596,8.48506629625747,32.017671764144126,0.4419002909267025,0.24676848425544734,0.24676848425544734,0.5584257112344344,48.7178263738996,48.7178263738996,5.741596432238567
